Key,SF_ID-1,SF_ID-2,Customer Name,Street,City,State,Country.region,ZIP,FIPS,lat,long,SalesPerson,Count of YM,Max of YM,Min of YM,Current Customer,Months Since Last Purchase, TotalSales_L12M , SalesPerMonth ,Bucket
2738,00160000010QDhEAAW,,Troy Marine,15727 Carrollton Blvd,Carrollton,VA,USA,23314,51093,36.920655,-76.512934,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2754,00160000010QDhzAAG,,Jetts Marine Inc,18477 Northumberland Hwy,Reedville,VA,USA,22539,51133,37.862053,-76.29744,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2761,00160000010Q838AAC,,Dominion First Yacht Sales,P.O. BOX 696,Occoquan,VA,USA,22125,51153,38.681615,-77.26052,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2785,00160000010Q8DzAAK,,Top Rack Marina,749 Green Tree Circle,Chesapeake,VA,USA,23320,51710,36.74724,-76.235378,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2787,00160000010QDhJAAW,,Budget Boats,2024 Battlefield Blvd N,Chesapeake,VA,USA,23324,51710,36.787053,-76.259402,Nick Glass,12,201608,201509,1,0," $6,125 ", $510 ,4
2788,00160000010QGPoAAO,,West Orlando Marine,No Address,Norfolk,VA,USA,23510,51710,36.852122,-76.291682,Nickeshia Bowen,12,201608,201509,1,0," $6,125 ", $510 ,4
2809,00160000010Q5SBAA0,,Pacific Boatland Inc,11704 HWY 99,Vancouver,WA,USA,98686,53011,45.693556,-122.628251,Courtney McManaway,12,201608,201509,1,0," $6,125 ", $510 ,4
2964,00160000010QCcbAAG,,Captain Jim's Yacht Sales,5017 Sheridan Rd,Kenosha,WI,USA,53140,55059,42.590704,-87.822794,Sarah Gregory,12,201608,201509,1,0," $6,125 ", $510 ,4
3006,00160000010Q6WFAA0,,Keith's Marina,4339 Hwy 33 West,West Bend,WI,USA,53095,55131,43.427494,-88.25273,Sarah Gregory,12,201608,201509,1,0," $6,125 ", $510 ,4
3507,0013200001Cehx5AAB,,Eds Boat Sales,2545 South Oneida St.,Appleton,WI,USA,54915,55087,44.240205,-88.404137,Sarah Gregory,11,201608,201510,1,0," $5,611 ", $510 ,4
3833,00160000010Q5qGAAS,,Unlimited Marine,"2624 S, HWY 127",Russell Springs,KY,USA,42642,21207,37.103835,-85.058851,JJ Aho,3,201608,201606,1,0," $1,530 ", $510 ,4
1650,00160000010Q5DrAAK,,Coldwater Lake Marina,626 Lake Dr,Coldwater,MI,USA,49036,26023,41.840065,-84.97551,Zach Bower,12,201608,201509,1,0," $6,120 ", $510 ,4
577,00160000010Q4S1AAK,,National Yacht Sales,1915 SW 21st Avenue YWY1627,Fort Lauderdale,FL,USA,33312,12011,26.117076,-80.153294,Whit Hall,12,201608,201509,1,0," $6,115 ", $510 ,4
2827,00160000010QGnnAAG,,Bjornson Motors,3402 C Street NE,Auburn,WA,USA,98002,53033,47.337497,-122.226468,Courtney McManaway,12,201608,201509,1,0," $6,114 ", $510 ,4
